label,comment
0,The last election was maddening In my RTD district there was the incumbent Lubow who was fully supported by the previous board member nice guy but totally incompetent Kemp The challenger was branded a nutjob that in no way was qualified to serve She was attacked again and again This lie was propagated by both major parties in the area Not surprisingly Lubow won
0,Green energy initiatives in particular have a tendency to be an economic loser and a sink hole for taxpayers funds Just ask Ontario electricity rate payers
0,You mean spend spend spend like the Republican majority has been doing for the past thirty something years and then turn around and pass the overspending into taxes at the municipal level Now rational voters aren t buy that it s the liberals spending and taxing that s got our state into fiscal trouble Try again Ridgefield
1,One thing you can depend on If Trump has dug himself into a ditch he will find a way to make the hole deeper What a total loser
1,Killing animals in this fashion is no different than killing human beings These fellas are bloodthirsty killers that should hang
0,Lack of consent is a key element of the offense so the crown either raised it or failed utterly to do the job
0,If the author wrote The GOP establishment on its deathbed he would have had something Instead he spears the base Well the base is the GOP The base chooses the direction the base organizes and votes in local and state contests The base decides in the primaries What you have here is the candidate and now the President aligning himself with the Base The talking heads never saw this coming and even when it became the reality they still look the other way
0,Spot on Laura W
1,we are already not competitive in terms of production in the world Now to add to that Canada thanks to Justin we will be at even more of a disadvantage I know of 2 major companies with contingency plans to move their production out of Canada due to carbon taxation We a governed by fools
1,You reveal yourself here as a silly pitiful troll as if there were any doubt spreading your hate and discontent because you are on the wrong side of history coupled with the revelation that you ve been had by the imperial pointy hats with the imposition of their small minded superfluous doctrine throughout the ages Yep small minded about sums it up whining now that the people of God including clergy have been given official approval to think for themselves as opposed to the feckless abandonment of the will and intellect that accompanies the fear based Roman system of mind control
0,Considering that OPEC and non members just agreed to reduce oil production because there is far too much produced than being used consider your industry busting again More and more companies world wide are divesting from fossil fuels
0,PM is a trust fund baby Finance minister inherits a huge family business and then marries into one of the richest families in the land And the chief fundraiser s family name is synonymous with inherited family wealth in Canada But really we are a party of the middle class Seriously We understand and can relate to the challenges that all of you face
0,Washington Post keep churning out all these anti Trump stories Media before the election were coming out with every single anti Trump stories there ever seen the lights Most of it was minor stuff enlarged for public consumption I wonder what happened to the journalistic world during the past 30 years How did they become so corrupted so biased and stop being a fair bringer of news and become a political action groups with political agenda of their own I guess we are all living in the days of the modern day version of the yellow press
0,My president Calgarian by choice for over a decade
0,Isn t the torture of prisoners illegal in this great country of ours comrade
1,Much of the system is poorly designed Toronto garbage Cities with common sense have a concrete island for people to safely enter and exit streetcars as currently exists only on three routes St Clair W Spadina and Queens Quay Pedestrians only cross a live lane of traffic at a marked cross walk with controlling signal lights Streetcars should not exist in any other fashion Buses including trolly buses should be uses on all other routes where passengers can safely enter or exit directly from the sidewalk
0,Oh I m well aware Actually I m north of Erie a ways between there and Firestone It s growing fast up here but still about 80 open space for now I should be dead and gone before it all fills in And I don t want to be TOO far from Costco Home Depot etc It s about the perfect balance right now close enough to the services I need but far enough to feel semi rural
1,poor sad little troll
1,Hey corporations are people too They are just psychopaths that don t care about anything except making money And they have Don Young and the Republican Party to back them so don t be surprised when the air runs out
0,So instead of buying concert tickets for July go out and spend that spree ASAP
0,Is that a direct Hilary quotation or someone else I can t seem to follow the trail here BTW good to hear your voice again D
0,Do you eat meat You good with a slaughter house 500 feet from your home
1,you mean countries like Saudi Arabia where th 9 11 terrorists came from Whoops not on the list
0,OH Motley Give him time he has only just begun That way we can live in fear and complain for the next 8 years and when nothing happens we can say JUST WAIT the end is near it could happen any time
0,Coal brought us the Industrial Revolution global shipping the railroads the steel industry helped win WWII and is now in decline except in that great environmental leader particularly during the Paris Accords China JANUARY 12 2017 China s coal imports dipped slightly in December from the previous month but were still up more than 50 percent from a year ago at 26 84 million tonnes official customs data showed on Friday
0,The issue of marijuana legalization in Alaska is very frankly dear to my heart because I do believe in states rights and individual rights Either you re for states rights or you re against it You can t have it both ways We had legalized marijuana in the state of Alaska for 12 years And it was no big deal And we re criminalized it because we didn t get the money to work on cocaine and heroin and the other types of drugs we had So we re criminalized so that we d get the federal dollars Young said Isn t this having it both ways
0,Trump will probably be proven right again
0,Again why aren t either Sheehan or Levinson the chair of this commission and why did the ethically opaque part time mayor of HNL appoint Outrigger lobbyist Sword to do something that obviously is WAY above his skill set and intellectual depth
1,It would be nice if we could sort out the dumb ones without a margin of error
0,I read the F n article Did you even read my reply Skroo You
0,I don t care what you think of me and your respect means nothing to me Unless you have anything remotely interesting to say about Trump s first 100 days think I ll exit this exchange
0,This is a much better story than the one a few years ago when the guy lost his dog on Mt Evans I believe and basically said Oh well and abandoned it Then when someone else found him he had the nerve to ask for the dog back
1,C mon man You really have to be a cretin to fall for these scams Old young babooze it does not matter
1,You will be missed It is sad that NCR let s these FAKE catholics and FAKE Xtian posters control their web site Shoving their lies and I ll flag that in everyone s face that has a functioning brain You have always been one of the more open and clear minded individuals on this site Unlike the semi insane who are so obsessed that they have multiple FAKE names to try to drown out others with their silly constant insanity
0,Mr A s articles are a must read It s good to see a counter to the usual bullish articles On the same topic one should look at the high levels of margin debt That coupled with Investor sentiment being at very elevated levels The weekend headline in the Globe Markets at record high got my attention and had me recall the saying it s best to to be fearful when others are greedy
0,You can refuse an illegal order and offer your resignation That is the legal and morally correct thing to do Otherwise you are set up for war crimes
0,O Leary is the Conservative equivalent of Michael Ignatieff An occasional Canadian who does not connect with most Canadians but doesn t realize it
0,An Approved message from Trump AGAIN TO OUR VERY FOOLISH LEADER DO NOT ATTACK SYRIA IF YOU DO MANY VERY BAD THINGS WILL HAPPEN FROM THAT FIGHT THE U S GETS NOTHING
0,Sorry don t mean to slam da bruddah but he need some anger classes Can t have his kids do the same thing when they grow up Gotta try stop the abuse cycle No treat the wahine like kaka only make nice when he like kumu
0,What a total load The Texans never screamed that absolutely no money should be given to them Ever They objected to the Sandy bill only because it snuck in over 200 million for pork projects that were totally unrelated http nypost com 2012 12 15 obama sandy aid bill filled with holiday goodies unrelated to storm damage Your dishonesty and faux outrage have been noted
0,Do you ever wonder if Pitts rolls his eyes when he get his instructions from the DNC every week
0,Thank you for your reply Will wait to see who the new nuncio is Let s hope he is a good man As you say the current credibility of Irish bishops is near to zero Pope Francis will certainly find a very different Ireland from the one that JP2 visited in 1979 I am reminded that for the Mass in Galway JP2 s two warm up acts were Bishop Eamonn Casey and Fr Michael Cleary Of the three only JP2 seems to have been careful or perhaps lucky in his very close relationships with women
0,In terms of concentration of personal history every current U S Supreme Court justice studied at either Harvard or Yale law schools Most top British politicians are from Oxford or Cambridge
0,You cannot blame him The Democrats have lost their way I m afraid Take Chicago were Obama was elected It is a mess In 2016 when Obama was president they had 425 killings in 9 months far surpassing all the Chicago killings in 2015 The democrats did not help out Chicago one little bit Nor did the Democrats help the middle class get any of their lost jobs back People may not like Trump but they dislike the democrats as much or more
0,Perhaps guys it s my Irish talking but my religiosity would say that even for one s antagonists it is best to offer a simple R I P in their deaths Nothing more need be said In fact by saying nothing else one is actually saying a lot
1,If Trump is mentally ill what does that make the sexual predator enabler liar and thief Hillary Rodham Clinton A criminal http articles latimes com 2001 feb 10 news mn 23723
1,Well Mr Evans is it the case that Asian Americans cannot possibly have a complaint regarding civil rights violations Hypocrite
1,Who watches thus junk
0,Wow Such judgement from a snippet No context surrounding the situation Anybody wonder why the others were just sitting there nonchalant and some were helping to force her into the splits Wonder why the mom didn t press on more I know I would do more than send an email when it comes to a sense of endangerment in my gut A day or two tops Too much we don t know
0,Sessions problem grows and he s got no escape Court filings now show he was aware of evidence that at least one or more Trump campaign associates were in contact with Russia s government Sessions told Sen Al Franken D MN at the January hearing that he was not aware of evidence that anyone affiliated with the Trump campaign communicated with the Russian government during the campaign I m thinking maybe there s gonna be an indictment with Jeffy s name on it We all know now he deserves one
1,So true but not in the way you believe How about a survey of active members of the Military who would be affected by this issue The results may surprise you The sycophant Generals under President Obama were a complete disgrace
0,The point was Summers was forced to resign for his opinion Look at the husband wife professors who suffered verbal abuse by Ivy students or Middliebury College where a professor has to teach a class off campus You seem to miss that type of censor
0,Its called mind control Soft cuddly articles about the beauty of Islam He even slips in the bigot word to make it look like anyone who questions Islam is a bigot Boy the deep state and oligarchs are pulling out all the stops The mind wars have started Since G M is a for profit paper I wonder which group paid for this article Trudeau Foundation Khan Soros You through Immigration department
0,Even those classified emails were reclassified after she sent or received them right dude The entire email scheme was a fraudulent character assassination on the part of the GOP as revealed by Representative McCarthy in a far too candid moment The Gopers used their time in control of congress to pose 60 expensive and time wasting votes against the ACA and endless and expensive wastes of time on ridiculous Benghazi s and speeches to Goldman Sachs big tip of the hat here to the Sanders campaign as well on that nothing burger
0,I question just how much the murrelet is really effected by logging or is it just a scheme by environmentalists to ham string the logging industry by locking up more timber land Like they have done with the spotted owl
0,independent of gary s statement just how do you feel think would you have wanted them to stay
0,I deleted my first reply because it didn t reveal what a kick I got out of this one Still traddies get a pass on some truly obnoxious comments
0,Her record suggests her work ethic is lacking
0,Interesting op ed Hopefully we can work together in peace
0,So we also have by the beautiful Willamette River retail shops restaurants and cafes with outdoor seating I must be missing something as I can only think of one McMenamins Are you including the VR Mall
1,Justin Trudeau is a vacuous hypocrite
0,Jumping off the burning ship
1,It sucks big time
1,Of course he was fired and justifiably so Only a fool would think he could insult half the planet through his work and keep his job See ya maroon
1,here we go again move on allready these 2 were rubbish stop whining
0,Anytime a New Yorker says trust me your money is safer soaking in gasoline
0,Answer me this if the parents have raised the money to take him elsewhere why should to courts intervene to prevent their travel to the United States Is the state superior to the individual in your liberal mind
0,It was President Obama in 2013 that stipulated that both Houses of Congress were a small business and could opt out of enrolling in O Care Congress should be made to live with ALL the laws they pass on to us rubes
1,Damn come on now people
1,In a recent survey 72 of 1 000 surveyed Canadians would gladly trade Justin Trudeau for Donald Trump Did you just ask yourself 1000 times Please provide proof Otherwise the rest of us will consider you a liar just like your hero
1,The professional money changer says wha Look at him trying to put lipstick on his pigs Ha ha Ha HA HAHA
1,Disgusting comment
1,Actually that is exactly what I was thinking too They could have insisted on Indian staff Or non black staff but they specifically wanted white
0,Whatever Maybe it s time for you to return to the USA
1,1 He doesn t keep promises 2 He does trade other people s money for debt hence the bankruptcies 3 It was a Saudi prince who gave Trump an out of personal bankruptcy by buying his yacht etc I bet he will focus on keeping the rag head toga party rich happy because he likes rich people more 4 I guess he got that idea about protection from the mob 5 Jawohl Heil 6 Who is going to build your wall and who is going to clean up for you 7 Moron
0,You mean like in California where there are no urban growth boundaries
0,The standing was established when a Federal judge in Texas at the request of Texas successfully struck down one of Obama s executive orders on immiigration The ruling covered not just Texas but rather the entire country
1,Klastri is spreading a stain of invalid statements Please somebody flag his comments as he is a liar
0,Have the Republican controlled Congress select the President I could go along with that if we had a true Parliamentary system where the leader of the Executive Branch is selected by the majority of the elected representatives You know like Great Britain Their minority parties at least seem to get a little more influence than ours do
0,Science can actually study how the first two books of the Bible came about Of course if we taught these results in school the Fundamentalists would file a lawsuit against it
1,the way a Democratic President would handle this How about Bush Brownie you re doing a heck of a job or mission accomplished And like lap dogs the republicans ate it whole hog Maybe trump will dispatch his flying monkey s of FEMA to assure the victims who voted for him that he has their back when he s back from vacation
0,The B250 has been and still is one ugly car the only ones worth buying is Lexus and Genesis the rest are overpriced andoverhyped
1,I agree but doesn t appear impeachment is going to happen I am hoping that Putin will offer trump the vice presidency of the Kremlin They can then talk about adoption all day long This old man is crazy and wrecking our democracy
1,AND the amount of tax money the fake part time mayor has SAVED over years of maxing out his historical home exemption in ADDITION to his real job banker proves he s a sickening hypocrite
0,Either side On one side is 99 of the climate science community and on the other is the fossil fuel industry who will fight tooth and nail to confuse the public and make sure we keep burning their products I have faith in the science Physics is not political and cares little about ideology If we keep burning carbon the planet will continue to warm
0,Where did the Globe and Mail find this guy Globe In the real world when a child or adult behaves in threatening harassing and abusive ways consistently and are documented they suffer consequences Giving in to and supporting such behaviour through ignorance is no excuse I used to have respect for the Globe and Mail Do Your Research And if you do not like that source there are others Globe and Mail must have a research staff https genderidentitywatch com s sophia banks and while your staff is at it check out GenderTrender Lesbians throughout the world are so Thankful for the work of Gallus Mag
0,I agree with you Alaska needs jobs and oil and gas production but the state is keeps running everyone one out in favor of the majors and that is not fair to those that invest in Alaska Are you suggesting no one should invest in Alaska unless they like lawsuits with the DNR DOG
0,As a Canadian I am afraid Trump will eat him alive Trudeau is a bit out of his element After the fact he will have to figure out what happened
0,When you have untreated lumber out in the elements that s what you get said Stowell Edward Plitt said it well Repairs and Maintenance on a routine basis might be a better investment than as Rob Sweeton said repairs first on the taxpayers doller before new art projects or other projects at taxpapers expense including pay raises above the cost of living index
0,Interesting thanks I am dubious about this slate The only honest individual there is Jonas Sisulu is a screaming harpy Mantashe a bullying prevarication Mkhize a cypher
0,I cant stand the way humanity treats our land and animals If we cant live with nature in its backyard like when ranchers go psycho because one cow died because thats how nature works and money destroys priorities Humanity doesnt deserve this world
0,Her gift is to see through the various orthodoxies that drift through the zeitgeist like bees through a clover patch
1,Don t you have some crappy coffee to ruin Or a donkey that needs lovin
0,Blunt you certainly live up to your name
0,I doubt you would be OK with a cop pulling you over and tearing through your car or the IRS doing an annual audit on your taxes just because you weren t guilty of anything Baseless investigations like this suck up very limited resources people budgets etc
1,No such thing as alt left except in the White Supremacist propaganda altering the vocabulary to make their own evil ideology legitimate The ranting of a pure Aryan White Supremacist glorying of the pseudo election of his new Fuhrer Trump to free the Neo Nazi Aryans to begin the violence just like Nazi Germany This nation needs to stamp out this evil just like it did in 1940s The big mistake was not doing it to the embedded racist bigots infesting this nation since its formation
0,The Donald s real agenda was to remove the sanctions against mother Russia so that Exon can make lots of money drilling there But now it is difficult to remove them Poor republicans for decades they have been so scared of Russia now they are buddies Ironic
0,Commenter is just another antigunner obviously The fakey story about 45 colt ammo is the giveaway Every week she reads jenkins and complains Fake fake fake
0,You have my vote Keep up the good work
0,Headline about a parka but no picture of the parka Come on ADN step up your game
0,Neuron bomb maybe American and NK are testing each other s nerve aren t they
0,Once again you are pushing the logical fallacy of the Slippery Slope Those who use fallacious arguments are saying I have no actual argument As in fact you are showing here If you object how about an actual argument Assuming of course you are capable of forming one Pointing out that your argument is fallacious is not a personal attack You who are so quick to attack me should know better
1,This jerk of what he calls himself governor needs to go The state is worse off now then it was before him the lame adminstration Crime is at an all time high thruout the state Walker is the worst person sitting in the capital that has ever existed The state needs some good leadership but his name isn t on that list
0,Elimination or reduction of capital gains exclusion or eligible dividend tax credits will be a sucker punch to a large population of recent and soon to be retirees who after decades of investing are about to rely on their retirement accounts including many non registered ones If Trudeau tinkers much more with principal residence exemption even the most recalcitrant liberal voter will turn and run
0,Problem is where to put junk cars Is there a crusher and a plan for storing or getting rid of crushed cars If there is no mechanism in place the borough can t enforce jack Can you use them for fill On the coast we barge them out to scrap metal yards in Seattle Fairbanks needs to get creative like I know them to be In Seward a lot of metal dross goes to Anchorage scrap metal yards
0,We need to stop fighting Israel s wars it puts us in bed with the wrong side every time Assad isn t committing any genocide the claims that he gassed his own people was determined to be nonsense the only reason we are there is because Israel wants to make another land grab and zionists control our MSM do your own research people we are being sold another bill of goods like they did with Iraq
1,TH Maybe but she sure is short on the brains side kinda like you
0,Power too the People ANCHORAGE NEXT Boot the Liberals back to California
0,Thanks I feel it always better to have someone practice on their own It s a learning thing
1,when the Libbies get mad they get nasty even these old fogies
0,Welcome to Alaska Jane Sanders Women for Bernie Sanders 2016 Facebook shared Please s h a r e and cheer on our friends in Alaska to vote http vote berniesanders com AK to phonebank http bit ly 1LvvGsi via Alaska Women for Bernie Sanders Native Vote 2016 Every Native Vote Counts http www nativevote org Nicole Willis Bernie Sanders Native Outreach Coordinator
1,Better and bigger kw production per panel module has to happen Cheetolini would be more of a fool than he already is to support this tariff
1,You are partially correct Conservatives do tout those 2 dumb ideas tort reform and cross state competition Dumb because they are already proven to have zero positive impact on health care costs as commenter Melissa McInnis has detailed for you But the mandate was a conservative idea And a necessary one if we re going to have a market based system and we want to maximize the risk pool What other ideas do you conservatives have for reducing costs and increasing the risk pool Can you list them
0,Aloha Mark Tanaka I m assuming then that one of those inquiries surely recommended prosecution Please point me to the citation for that Or perhaps Secretary Clinton manipulated Congress and her critics there the Dept of Justice the FBI and the media I may have missed all that but am interested for you to enlighten me
0,Keonigohan AKA Sister Bertrille on the Flying Nun site doubly sad See how easy that is
0,Criminals and mopeds running amok and Honolulu s finest are running around town issuing jwalking and cphone tickets
0,Keeping in mind of course that there are also traditional minded parishioners Not only the liberal cohort should be considered
0,But the city was silent on oversight for the Kuahea Street project which was two years overdue Soooo business as usual then Are we EVER going to just admit that the city has NO oversight on ANYTHING and fix THAT
0,Thank God Andy Reid is coaching no matter how good they are it s almost a guarantee they will find a way to lose in the playoffs
1,Garbage in Garbage out
0,Careful to differentiate between a truly boutique tax credit and core items such as capital gains exclusion or eligible dividend tax credits The latter would result in human and financial capital flight out of Canada Morneau should know this but he seems to be humouring the Trudeau Butts social justice spending spree long enough to secure that golden egg pension
1,As an atheist the idea that a civil society must accommodate religion and the various religious customs should be limited This includes carrying knives which are otherwise banned If you want to believe in ridiculous fairy tales be my guest but don t ask me to accept it respect it or provide endless accommodation to this absurdity And that applies to Mr Singh
0,Nope you re wrong I ve been following this over a year The scope is frightening Stop avoiding the obvious
0,Right on Ours went from 1400 mo for 6 people to 3000 mo for 3 We finally got it down to 2133 mo for 3 because we have an LLC with 2 employees And our deductible is 9000 yr What a joke I also hear how the ER s are still full of people who do not have emergencies I thought the ACA was supposed to eliminate that
0,Do you have anything but allegations and nonsense Maybe you should take some of your own advice on history
0,What they will do is wait until they think the American public has forgotten Obamacare and then they will repackage it and bring it back as their own They are relying on the public s infamous forgetfulness
1,Are you retarded Two adults having consensual sex and being filmed isn t the same as someone filming a child being abused or sexually molested neither does it even remotely pertain to rape Rapists get off on all sorts of perversions but I highly doubt consensual sex between two adults is one of them You have some serious issues lady And I use the term lady loosely
0,Yeah It s audience is also larger than most of the largest Western MSM CNN MSNBC Fox News etc combined showing that more people trust is than they do Western propaganda G M certainly doesn t hold a candle to the journalistic integrity of RT and you d find that for yourself if you actually spent some time reading it rather than dismissing it because your preconceptions were manipulated from the start
1,no we should call it babbling deluded stupidity You live in a home made from wood and yet in staggering hypocrisy seek to deny others what you enjoy You spin yourself stupid one minute lecturing how we must turn to renewable natural resources to save us from global warming and extinction to then demonize harvesting a renewable natural resource Stop being a liberal sheep
0,Indeed I cannot disagree As President Obama said elections have consequences even those that are tampered with by hostile foreign governments Then again Trump s term may not last a full four years One can only hope
1,Now only if his boss quits along with all the other useless MPP s driving this province into the financial abyss
0,After Aloha Airlines folded Hawaiian made tons of money on the almost monopoly of the inter island routes therefore they can afford to expand
0,Trump is redefining the political landscape like no one has been able to in American History Truth and openness is appealing after the disgraceful fake divisive tenure of the progressive community disorganizer Sorrento
0,Don t count on little Trudeau to stand up to China here and demand they respect the transition agreement He s a pro China advocate Much like Trump for Russia Lovers of authoritarians
1,Maybe he could retire there and freeze his wittle tail off while he swings through the trees Somebody said Hussein is an idiot and I agree
0,Right And they need to stop over breeding and relying on litter after litter for income I doubt that the breeders give a carp about the puppies fates
1,Yeah missed your chance to be a hero with your gun Is that what you think about when you conceal carry You re as scary as that guy with the knife smh
1,Typical HillaryPuppet dumbed down and full of spoon fed lies
0,Gee I didn t know half of American s live in trailer parks and are poorly educated Ha So I guess you live pretty good Do you like to gloat Ha
0,who cares the point is we lost 625 jobs from gm in london while the usa just picked up 850 in addition to the future 7000 jobs coming we are the losers here
0,Correct It is in point of fact an oblate spheroid It would be a ball if it were not spinning But it is Get over it
0,A rare moment of total agreement with Paul
0,I wonder why the GOP felt a need to take this course of action at this particular point in time Hard to see how the grand media had anything to do with this
1,Good riddance to that Liberal trough dweller Let s hope that Justin and Co suffer the same fate in two years
0,Actually mortgage rates became historically low in 2014 and 2015 not 2008 You ve just proven that low interest rate does in fact increase house price Try looking up facts instead of randomly stating incorrectly that We had low interest rate in Canada since 2008
0,Bud Black being an MLB pitcher should know better than any other manager when to yank a pitcher who suddenly cannot locate his pitches Black failed him It reminded me of Mario Tremblay keeping Patrick Roy in when he was clearly off his game and gave up 9 goals on 26 shots I hope this doesn t do psychological damage to Hoffman like what happened to Rick Ankiel many years ago with the Cards
0,I believe you re misinterpreting ricknro s comment He s critiquing the author s claims that if we increase we re soaking the oil companies He s also calling out the Senate Majority s lack of a defensible strategy other than obedience to the oil companies You re both on the same side of this argument
0,Shawn Alaska has had one of the lowest US poverty rates for decades Stop blaming the families and take a hard look at the system that unwilling to adopt changes that have made great improvements in other states but are blocked here because they would upset the status quo
1,just mirroring what the Re Bumpkins did for 8 years while someone black was governing
1,If only more people in BC cared enough to vote we could get rid of these corrupt fake liberals
0,Mr Trump is no great secret He has been an extremely high profile person all his life He loves life in the spotlight However as a businessman and as a realityTV host he wasn t really held accountable as he is as President This is making him very very uncomfortable It s a whole new experience When sociopaths are forced to face the music they become very very angry and act out to seek vengence against all those who are persecuting them Mr Trump is the poster child for this process Gary Crum
0,No I am not naive I am a humanitarian I believe in the Oneness of the Human Race
0,Sorry Aaron 24 million of it has to go to support K 12 Schools That even added to the 60 from the General Fund 60 from the lottery and the 60 from each homeowner s property taxes still isn t enough for the educators in the State But it s fer the childrun not the bums Aaron
0,I posted below the farraday cage dakines because in any sudden onset major disaster communications are always degraded or disrupted Plan for your family to have a plan
0,Well more support ACA than those that want to repeal More people voted for Hillary The cons lost seats in both houses and every con from the pResident Ryan and McConnell on down act like they have a mandate which is pure delusion on their part
1,Shoalts appears to have written his story in the third quarter while Atlanta was trouncing the team backed by President Trump and was either too shocked or lazy to change it from its ridiculous schadenfreude theme leaving it as a barely disguised Dewey defeats Truman piece that rivals the bitter Globe political reporting of the last 12 weeks
0,It s not the way the system works it s the way the system is managed
0,her pre nup says she wears heels so she wore heels
0,Buy wine with confidence A rule of thumb When in doubt go French However Australian bottles can be surprisingly good regardless of price point French Beaujolais or Australian Shiraz 15 20 are all good choices regardless of the estate Either will be met with a smile by the host when presented But as for a guest s substandard wine since you know they will bring it anyway smile warmly and give it to your brother in law
0,THE EU IS NOT EUROPE
0,How do you lose what you never had
0,Where we going to put them all I believe Kona is just about max hotel capacity already I do see construction cranes in Waikiki and I thought another hotel resort was going up in Kapolei Ko Olina but is that enough capacity I haven t read of latest bookings for Maui and Kauai
1,and told Sister names and details frequently embellishing the later an S ter I told him I was going to tell and he called me a dirty rat and said he would beat me up after school
0,Again you care about justice but also promote eroding it What s next Just breaking into someone s home just because they look hispanic
0,That s an easy one just talk to the 171 locals who are part of the Big Crabbe Ohana Each and every one is well paid has an OHA credit card plus a local clothing allowance to defray the cost of leis and aloha shirts Is this a great aina or what
0,I hold no hope that Dladla will be noticibly better than his predecessors and indeed it seems to be common cause that he and others in senior management AND NOT YET SUSPENDED were implicated in some way or other in corruption if only by not whistle blowing Think too their Legal Department Secretarial etc as well as Accounting and Commercial quite a few knew Then there is Government the Executive and DG s not excluding Brown and Gigaba Who does NERSA report to
0,But officer I was following the spirit of the law Yea right you re busted
0,Man you really do have a difficult time staying on topic By the way you might want to check your facts because it was not the Democrats who started the KKK Six Confederate Veterans started the Klan Check it out on Wikipedia Like I said before I m not a Democrat and we weren t talking about racist groups but now you bring it up What s with that
0,Yeah so what s the problem
0,We need intellectual integrity from our media and institutes of learning
0,Why do we need an increase in transmission capacity if we are replacing fossil fuels I know perfectly well how electricity is generated and the mercury and gaseous emissions from coal burning that causes respiratory problems
0,Perhaps Mr Karem should take his i can t take it any more to his fellow journalists news reporters and tell them to stop the BS fake news and do their homework before releasing any news
1,Classical two faced hypocrite that saddles Canada with his feel good and world selfie image while selling the farm to Communist China flooding the country with Muslims we can t house feed or find work for while he spends most of his last year on vacation Really how does introducing a carbon tax not clash with building more pipelines and flooding the country out with unsustainable immigration Shameful
1,LOLOLOLOLOLOLOL Found the pro birther Pro guns pro death penalty but make the old geezers suffer at the ends of their lives and make sure women are punished for having sex
0,Good lord drama much Reading the words you use to describe your Aunt I was expecting a child molesting serial killer then you provided exactly no examples of her evilness Id say grow up all of you
0,Three of Quebec s five demands are non starters Quebec already has guaranteed representation on the SCC a mistake but we re stuck with it and distinct society wouldn t necessarily have any actual effect but the other three will just never happen The federal government is not going to agree to limits on its spending power and the other provinces will never give Quebec a veto on constitutional amendments Provincial influence on immigration can be dealt with by federal provincial agreements but won t be constitutionalized Couillard is just going to have to accept that Quebec is une province comme les autres
0,In the Partial Birth debate I shared my analysis on the 14th Amendment with both sides The Life side wanted to use PBA defense to overrturn Roe the act was stalking horse for repeal The Choice side looked at my argument I had urged them to state that PBA should be repealed because the Congress did not use the 14th Amendment justification They demured The Court upheld PBA under the Commerce Clause If the 14th Amendment justification had been argued I suspect Kennedy would have used it as a better use of the constitution
0,This visa would allow these residents to live and work in Canada with access to benefits until such time as they can complete the application process for permanent residency if they so choose TRANSLATION Give our foreign employees all the freebies they can handle It will be good for our business and they will let you know later own if they if they Canada enough to stay
1,Your comment is littered with lies and ignorance The retirement facility is a health care facility that receives government funding The BC Liberals are doing a really crappy job inspecting privately run long term care facilities and privatization has lead to appalling conditions where the elderly are sometimes not bathed and not fed and the quality of the meals resembles dog food
0,I do stand corrected Mr Research but in fairness it is somewhat easier to see corporate welfare as an expense no
1,But but but is NOT a defense It s not even a good deflection In America today we have Nazis waving the Nazi flag at rallies in our cities In what capacity does anyone think this is ok and who would not see that as a problem Enough with the Well what about blah blah garbage
0,Yup and the follow on to that will be increased traffic through the port of Anchorage due to the lack of west coast port space Also lower costs since Alaska will not be a termination shipping market
0,You listen to or watch too much Hannity When you accuse a huge group of people with something bad maybe you ought to look in the mirror first
